"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"Жесткий диск 320GB Hitachi";"19";"0000000000000";"2370";"2";"1";"шт."
"Чистящее средство для мониторов BURO Defender 30101";"33";"0000000000000";"96";"2";"1";"шт."
"Системный блок (Pentium Dual-Core E5500,775,G945M,2Gb,500Gb)";"34";"0000000000000";"17000";"2";"1";"шт."
"Удлинннитель USB 4.5м";"39";"0000000000000";"38";"2";"1";"шт."
"Чистящее средство для мониторов BURO 100";"46";"0000000000000";"75";"2";"1";"шт."
"Системный блок (Celeron D 3.6,775,G945M,2Gb,500Gb,GNS,GK,G-SP)";"54";"0000000000000";"9300";"2";"1";"шт."
"Клавиатура Genius Slim Star 100";"59";"0000000000000";"395";"2";"1";"шт."
"Акустическая система Genius SP-S110 ";"63";"0000000000000";"380";"2";"1";"шт."
"Акустическая система Sven SPS-820";"66";"0000000000000";"1849.95";"2";"1";"шт."
"Дисковод FDD 3,5 Teac черный";"81";"0000000000000";"350";"2";"1";"шт."
"Монитор LG Flatron W1942SE";"85";"0000000000000";"6100";"2";"1";"шт."
"Сет. адаптер Defender 1 порт USB, 5V 1A";"90";"0000000000000";"230";"2";"1";"null"
"ОС Windows 7OEM HB Rus";"92";"0000000000000";"2533";"2";"1";"шт."
"Системный блок (Celeron Dual-Core 2.50Ггц775,G31M,2Gb,500Gb)";"97";"0000000000000";"11877";"2";"1";"шт."
"Монитор Acer V233H";"101";"0000000000000";"7700";"2";"1";"шт."
"Системный блок (IN-WIN,Athlon II X2 3.00Ггц AMD2,IC780M-A,2Gb,1000Gb,DVD-RW,CRW,Floppy,KB-G110,M-GNS100)";"103";"0000000000000";"14838";"2";"1";"шт."
"ASUS DRW-22B2S";"112";"0000000000000";"1048,203
";"2";"1";"шт."
"ASUS DRW-24B1ST";"113";"0000000000000";"940,602
";"2";"1";"шт."
"Hitachi-LG GSA-U10N ";"114";"0000000000000";"2432,105
";"2";"1";"шт."
"LG GH22NS50";"115";"0000000000000";"739,908
";"2";"1";"шт."
"Panasonic UJ-870A";"116";"0000000000000";"2821";"2";"1";"шт."
"Pioneer DVR-S18LBK";"117";"0000000000000";"986,544
";"2";"1";"шт."
"Sony NEC AD-7590A";"118";"0000000000000";"1697,033
";"2";"1";"шт."
"Sony Optiarc AD-5240S";"119";"0000000000000";"1212,224
";"2";"1";"шт."
"Ippon Smart Power Pro 1000";"126";"0000000000000";"5057,247
";"2";"1";"шт."
"UPS 525VA Back ES APC <BE525-RS> USB";"127";"0000000000000";"3166,371
";"2";"1";"шт."
"UPS 600VA Ippon Back Power Pro 600";"128";"0000000000000";"2279.95";"2";"1";"шт."
"UPS 600VA Ippon Back Office 600";"129";"0000000000000";"1950";"2";"1";"шт."
"Ноутбук Lenovo ThinkPad SL510";"133";"0000000000000";"21700";"2";"1";"шт."
"Сумка для ноутбука 17"" нейлон";"134";"0000000000000";"1950";"2";"1";"шт"
"Блок питания 350Вт Linkworld ""LW2-350W""";"136";"0000000000000";"480";"2";"1";"шт."
"Устройство чтения карт памяти 56 in/oneCF/MD/xD/MMC/SD/microSD/MS 3,5";"138";"0000000000000";"190";"2";"1";"шт."
"Корпус Miditower IN-WIN ""EAR-016"" ";"139";"0000000000000";"2550.95";"2";"1";"шт."
"Жесткий диск 500ГБ Hitachi ""Deskstar 7K1000.C HDS721050CLA362"" 7200об./мин., 16МБ (SATA II)";"140";"0000000000000";"2280";"2";"1";"шт."
"Модуль оперативной памяти 2ГБ DDR2 SDRAM Samsung ""ValueRAM"" KVR800D2N6/2G (PC6400, 800МГц, CL6)";"141";"0000000000000";"1490";"2";"1";"шт"
"Процессор Intel ""Pentium Dual-Core E5400"" (2.70ГГц, 2МБ, 800МГц, EM64T) Socket775";"143";"0000000000000";"2275";"2";"1";"шт."
"Переходник питания PATA HDD->SATA HDD Gembird ""CC-SATA-PS""";"145";"0000000000000";"50";"2";"1";"шт."
"Коврик Defender ""Opti Laser"" 50513, синий (для оптической и лазерной мыши)";"147";"0000000000000";"70";"2";"1";"шт."
"Передача отчетности по ТКС в ФСС";"151";"0000000000000";"300";"1";"1";"шт"
"Модуль оперативной памяти 2ГБ DDR2 SDRAM Hynix (PC6400, 800МГц, CL6)";"155";"0000000000000";"1600";"2";"1";"null"
"Бумага для фото-печати Lomond 0102063 (10x15см, 180г/кв.м, 50л., матовая)";"157";"0000000000000";"33,95";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102034 (10x15см, 230г/кв.м, 50л., матовая)";"158";"0000000000000";"40,95";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102082 (10x15см, 230г/кв.м, 100л., глянц.)";"159";"0000000000000";"105,95";"2";"1";"шт."
"Бумага А4 ""Снегурочка""";"167";"0000000000000";"170";"2";"1";"шт."
"Видеокарта PCI-E 512МБ Palit ""GeForce 9500 GT Super"" (GeForce 9500 GT, DDR2, D-Sub, DVI)";"168";"0000000000000";"1690";"2";"1";"шт."
"Микрофон Genius ""MIC-01A/Metallic""";"169";"0000000000000";"90";"2";"1";"шт."
"Кабель USB 2.0 соединительный USB AB (0.9м)";"170";"0000000000000";"29,95";"2";"1";"шт."
"Кабель USB 2.0 соединительный USB AB (3,0м)";"172";"0000000000000";"60";"2";"1";"шт."
"Кабель питания EURO VDE (1.8м)";"173";"0000000000000";"54,95";"2";"1";"шт."
"Переходник PATA->SATA Agestar ""IDE/SATA Converter AS-SI-20330"", питание от разъёма HDD";"175";"0000000000000";"269,95";"2";"1";"шт."
"Удлинитель USB 2.0 (тип A) (1.8м)";"176";"0000000000000";"50";"2";"1";"шт."
"Накопитель USB flash 4ГБ Kingston ""DataTraveler 101"" DT101G2/4GB, голубой (USB2.0)";"178";"0000000000000";"280";"2";"1";"шт."
"Переключатель KVM на 2 комп. TRENDnet ""TK-205K"" электронный (монитор,клав.,мышь) + 2 KVM кабеля ";"180";"0000000000000";"920";"2";"1";"шт."
"Музыкальная светящаяся игрушка ORIENT ""Снеговик"" (USB)";"181";"0000000000000";"249,95";"2";"1";"шт."
"Материнская плата Socket478 ASRock ""P4I65G"" (i865G, 2xDDR2, U100, SATA, AGP, SB, D-Sub, LAN, USB2.0";"183";"0000000000000";"2600";"2";"1";"шт."
"Заправка картриджа HP CF226Х";"185";"0000000000000";"460";"1";"1";"шт"
"USB накопитель Traveling disk 8Gb";"186";"0000000000000";"780";"2";"1";"шт."
"Диск CD-RW 700МБ 4x-12x Smart Track 80min CB-10 /200/";"187";"0000000000000";"16";"2";"1";"шт."
"Жесткий диск 500ГБ Seagate ""Barracuda 7200.12 ST3500418AS"" 7200об./мин., 16МБ (SATA II)";"188";"0000000000000";"1480";"2";"1";"шт."
"Клавиатура Mitsumi ""Classic"", 104кн. (PS/2)";"189";"0000000000000";"390";"2";"1";"шт."
"Диск DVD+R 4.7ГБ 16x Smart Track SP-25 /600/";"190";"0000000000000";"15,5";"2";"1";"шт."
"Диск DVD+R 4.7ГБ 16x Smart Track CB-10 /600/";"191";"0000000000000";"15,5";"2";"1";"шт."
"Диск DVD+R Double Sided 9.4ГБ 8x CB-10 /200/";"192";"0000000000000";"19,50";"2";"1";"шт."
"Проведение технической экспертизы";"193";"0000000000000";"650";"1";"1";"шт"
"Материнская плата Socket478 ASRock ""P4I945GС""";"194";"0000000000000";"2600";"2";"1";"шт."
"Корпус Miditower Classix ""Event"" ATX 2.03";"195";"0000000000000";"1110";"2";"1";"шт."
"Корпус Codegen QoRi ATX-3341-A11-USB/Audio (silver/black) 450w";"196";"0000000000000";"1350";"2";"1";"шт."
"Корпус Miditower IN-WIN EAR-018";"197";"0000000000000";"2241";"1";"1";"шт."
"Корпус Miditower IN-WIN ""IW-J649""";"198";"0000000000000";"3849.95";"2";"1";"шт."
"Жесткий диск 1500ГБ Seagate ""Barracuda 7200.11 ST31500341AS"" 7200об./мин., 32МБ (SATA II)";"199";"0000000000000";"4600";"2";"1";"шт."
"Формирование отчетности в ФНС и ПФ";"200";"0000000000000";"300";"1";"1";"шт."
"Сетевой адаптер Bluetooth Gembird, мини, черный (USB)";"202";"0000000000000";"275";"2";"1";"шт."
"Картридж Xerox ""013R00625"" для WorkCentre 3119";"203";"0000000000000";"3366";"2";"1";"шт."
"Диск CD-R 700MБ 52x Philips 80min пласт. коробка, на шпинделе (50шт./уп)	";"204";"0000000000000";"9,5";"2";"1";"шт."
"Карта памяти 2ГБ Transcend ""TS2GUSD"" Micro SecureDigital Card + адаптер";"205";"0000000000000";"214,95";"2";"1";"шт."
"Карта памяти 8ГБ Transcend ""TS8GSDHC2"" SecureDigital Card HC Class2	";"206";"0000000000000";"574,95";"2";"1";"шт."
"Видеокарта PCI-E 512МБ Palit ""GeForce GF210"" (GeForce 210, DDR2, D-Sub, DVI, HDMI)";"208";"0000000000000";"1474,95";"2";"1";"шт."
"Дискета Verbatim";"210";"0000000000000";"15";"2";"1";"шт."
"Процессор Intel ""Pentium Dual-Core E5500"" (2.80ГГц, 2МБ, 800МГц, EM64T) Socket775";"215";"0000000000000";"2299.95";"2";"1";"шт."
